tBJD,HJD,fits
1747.8651669683431,2458747.865166968,2019-09-21T08:45:50.426
1747.999888467643,2458747.9998884676,2019-09-21T11:59:50.364
1748.1346099735786,2458748.1346099735,2019-09-21T15:13:50.302
1748.2707203688246,2458748.2707203687,2019-09-21T18:29:50.240
1748.4040530091975,2458748.404053009,2019-09-21T21:41:50.180
1748.540163422373,2458748.5401634225,2019-09-22T00:57:50.120
1748.674884964281,2458748.6748849642,2019-09-22T04:11:50.061
1748.8096065178306,2458748.8096065177,2019-09-22T07:25:50.003
1748.9443280844189,2458748.9443280846,2019-09-22T10:39:49.947
1749.0776607829994,2458749.077660783,2019-09-22T13:51:49.892
1749.2137712625317,2458749.2137712627,2019-09-22T17:07:49.837
1749.3484928776666,2458749.3484928776,2019-09-22T20:21:49.785
1749.4832145129399,2458749.483214513,2019-09-22T23:35:49.734
1749.6193250539404,2458749.619325054,2019-09-23T02:51:49.685
1749.7526578535694,2458749.7526578535,2019-09-23T06:03:49.639
1749.8887684481215,2458749.888768448,2019-09-23T09:19:49.594
1750.0234901897984,2458750.0234901896,2019-09-23T12:33:49.552
1750.1582119647715,2458750.1582119646,2019-09-23T15:47:49.514
1750.2929337740868,2458750.292933774,2019-09-23T19:01:49.478
1751.6568161890236,2458751.656816189,2019-09-25T03:45:48.919
1751.776259552345,2458751.776259552,2019-09-25T06:37:48.825
1751.9109805021683,2458751.910980502,2019-09-25T09:51:48.715
1752.0457014088001,2458752.0457014088,2019-09-25T13:05:48.602
1752.1818111572466,2458752.181811157,2019-09-25T16:21:48.484
1752.315143130097,2458752.3151431303,2019-09-25T19:33:48.366
1752.4512528316282,2458752.4512528316,2019-09-25T22:49:48.245
1752.584584767575,2458752.5845847675,2019-09-26T02:01:48.124
1752.7206944383724,2458752.7206944386,2019-09-26T05:17:47.999
1752.8554152234674,2458752.8554152236,2019-09-26T08:31:47.875
1752.9901359986684,2458752.9901359985,2019-09-26T11:45:47.750
1753.1248567654861,2458753.1248567654,2019-09-26T14:59:47.625
1753.2595775248546,2458753.259577525,2019-09-26T18:13:47.498
1753.3942982775861,2458753.394298278,2019-09-26T21:27:47.371
1753.5290190246146,2458753.5290190247,2019-09-27T00:41:47.244
1753.6637397661702,2458753.663739766,2019-09-27T03:55:47.116
1753.7998493765494,2458753.7998493765,2019-09-27T07:11:46.986
1753.9345701086768,2458753.9345701085,2019-09-27T10:25:46.857
1754.0692908367291,2458754.069290837,2019-09-27T13:39:46.728
1754.2040115609393,2458754.204011561,2019-09-27T16:53:46.599
1754.338732281425,2458754.3387322812,2019-09-27T20:07:46.469
1754.4734529983034,2458754.4734529983,2019-09-27T23:21:46.339
1754.6081737120358,2458754.608173712,2019-09-28T02:35:46.209
1754.7428944225112,2458754.7428944227,2019-09-28T05:49:46.078
1754.8776151299585,2458754.87761513,2019-09-28T09:03:45.947
1755.0123358344968,2458755.0123358346,2019-09-28T12:17:45.816
1755.1484454093695,2458755.1484454093,2019-09-28T15:33:45.683
1755.2831661083198,2458755.283166108,2019-09-28T18:47:45.552
1755.4178868047077,2458755.417886805,2019-09-28T22:01:45.420
1755.5526074985357,2458755.5526074986,2019-09-29T01:15:45.288
1755.6873281899175,2458755.68732819,2019-09-29T04:29:45.156
1755.822048878974,2458755.8220488788,2019-09-29T07:43:45.023
1755.9567695656992,2458755.9567695656,2019-09-29T10:57:44.890
1756.0914902502157,2458756.09149025,2019-09-29T14:11:44.758
1756.2262109326334,2458756.2262109327,2019-09-29T17:25:44.625
1756.3623204859723,2458756.362320486,2019-09-29T20:41:44.490
1756.4970411643171,2458756.4970411644,2019-09-29T23:55:44.357
1756.6303729677852,2458756.6303729676,2019-09-30T03:07:44.224
1756.7664825154188,2458756.7664825153,2019-09-30T06:23:44.089
1756.9012031884085,2458756.9012031886,2019-09-30T09:37:43.955
1757.0359238597698,2458757.0359238596,2019-09-30T12:51:43.821
1757.1706445295,2458757.1706445296,2019-09-30T16:05:43.687
1757.306754070733,2458757.306754071,2019-09-30T19:21:43.552
1757.4400858648883,2458757.440085865,2019-09-30T22:33:43.419
1757.574806530778,2458757.574806531,2019-10-01T01:47:43.284
1757.7095271953872,2458757.7095271954,2019-10-01T05:01:43.150
1757.8456367319623,2458757.845636732,2019-10-01T08:17:43.014
1757.9803573947079,2458757.9803573946,2019-10-01T11:31:42.879
1758.1150780567568,2458758.1150780567,2019-10-01T14:45:42.744
1758.2497987182228,2458758.2497987184,2019-10-01T17:59:42.609
1758.3845193792245,2458758.384519379,2019-10-01T21:13:42.474
1758.5192400398741,2458758.51924004,2019-10-02T00:27:42.339
1758.6539607004102,2458758.6539607006,2019-10-02T03:41:42.205
1758.7886813610612,2458758.788681361,2019-10-02T06:55:42.070
1758.9247908946109,2458758.9247908946,2019-10-02T10:11:41.933
1759.059511555844,2458759.059511556,2019-10-02T13:25:41.798
1759.194232217777,2458759.194232218,2019-10-02T16:39:41.664
1759.3289528805249,2458759.3289528806,2019-10-02T19:53:41.529
1759.4636735443191,2458759.463673544,2019-10-02T23:07:41.394
1759.5983942095131,2458759.5983942095,2019-10-03T02:21:41.260
1759.7331148763342,2458759.7331148763,2019-10-03T05:35:41.125
1759.8678355450206,2458759.867835545,2019-10-03T08:49:40.991
1760.002556216034,2458760.002556216,2019-10-03T12:03:40.857
1760.1386657626222,2458760.1386657627,2019-10-03T15:19:40.722
1760.2719975663263,2458760.2719975663,2019-10-03T18:31:40.590
1760.4081071193186,2458760.408107119,2019-10-03T21:47:40.455
1760.5428278031377,2458760.542827803,2019-10-04T01:01:40.322
1760.6775484912655,2458760.6775484914,2019-10-04T04:15:40.190
1760.812269184165,2458760.8122691843,2019-10-04T07:29:40.058
1760.9469898825373,2458760.9469898827,2019-10-04T10:43:39.926
1761.081710586962,2458761.081710587,2019-10-04T13:57:39.795
1761.2178201713878,2458761.2178201713,2019-10-04T17:13:39.663
1761.3511520166526,2458761.351152017,2019-10-04T20:25:39.534
1761.4858727434307,2458761.4858727437,2019-10-04T23:39:39.405
1761.6219823532329,2458761.6219823533,2019-10-05T02:55:39.275
1761.7567030998014,2458761.7567030997,2019-10-05T06:09:39.148
1761.8914238578964,2458761.891423858,2019-10-05T09:23:39.021
1762.0261446286777,2458762.026144629,2019-10-05T12:37:38.896
1762.1608654138972,2458762.160865414,2019-10-05T15:51:38.772
1762.2955862150643,2458762.295586215,2019-10-05T19:05:38.649
1762.4303070341607,2458762.430307034,2019-10-05T22:19:38.528
1762.566416748039,2458762.566416748,2019-10-06T01:35:38.407
1762.6997487351,2458762.699748735,2019-10-06T04:47:38.291
1762.8344696222994,2458762.8344696225,2019-10-06T08:01:38.175
1762.9691905381371,2458762.969190538,2019-10-06T11:15:38.062
1763.1053003621441,2458763.105300362,2019-10-06T14:31:37.951
1763.2400213464352,2458763.2400213466,2019-10-06T17:45:37.844
