tBJD,HJD,fits,dMag
1823.3331267763137,2458823.3331267764,2019-12-05T19:59:42.153,1.1508595079711652
1823.373404333693,2458823.373404334,2019-12-05T20:57:42.134,1.1574937385553083
1823.4109041265674,2458823.4109041267,2019-12-05T21:51:42.117,1.1443273095213846
1823.4511816792888,2458823.4511816795,2019-12-05T22:49:42.097,1.146808653765323
1823.4900703483622,2458823.490070348,2019-12-05T23:45:42.078,1.1566724370820691
1823.5303478964274,2458823.5303478963,2019-12-06T00:43:42.058,1.1493672005184277
1823.5678476804544,2458823.5678476803,2019-12-06T01:37:42.040,1.1487067472079537
1823.6081252238632,2458823.608125224,2019-12-06T02:35:42.019,1.1672185870086211
1823.6456250032334,2458823.645625003,2019-12-06T03:29:42.000,1.1647094424884827
1823.6859025419858,2458823.685902542,2019-12-06T04:27:41.980,1.1213903325689836
1823.7261800779445,2458823.726180078,2019-12-06T05:25:41.959,1.1342627139587202
1823.763679850795,2458823.763679851,2019-12-06T06:19:41.939,1.1501576546290475
1823.802568502173,2458823.8025685023,2019-12-06T07:15:41.919,1.1505406559937867
1823.842846031612,2458823.8428460318,2019-12-06T08:13:41.897,1.1298178081824843
1823.880345797943,2458823.880345798,2019-12-06T09:07:41.877,1.1497673456496535
1823.9581230844014,2458823.9581230846,2019-12-06T10:59:41.835,1.134501533218522
1823.998400604527,2458823.9984006044,2019-12-06T11:57:41.812,1.1552902585347342
1824.0372892424011,2458824.0372892423,2019-12-06T12:53:41.791,1.1545012049670627
1824.077566757405,2458824.0775667573,2019-12-06T13:51:41.768,1.1563783501874862
1824.1150665111634,2458824.115066511,2019-12-06T14:45:41.747,1.1632996394697543
1824.1525662625934,2458824.1525662625,2019-12-06T15:39:41.725,1.1716186910748436
1824.1928437706133,2458824.1928437706,2019-12-06T16:37:41.702,1.1721901157225616
1824.2317323973107,2458824.2317323973,2019-12-06T17:33:41.679,1.1730603060197342
1824.2706210216797,2458824.2706210217,2019-12-06T18:29:41.656,1.1858739779553307
1824.3095096437214,2458824.309509644,2019-12-06T19:25:41.633,1.1602599378226344
1824.3511760223514,2458824.3511760226,2019-12-06T20:25:41.608,1.157639545723228
1824.3872868817502,2458824.387286882,2019-12-06T21:17:41.587,1.1601710344396754
1824.4275643762658,2458824.427564376,2019-12-06T22:15:41.562,1.1499192126107625
1824.4678418684516,2458824.4678418683,2019-12-06T23:13:41.537,1.1359039526766932
1824.5053416003248,2458824.5053416,2019-12-07T00:07:41.514,1.1462896001705707
1824.5831188160018,2458824.583118816,2019-12-07T01:59:41.466,1.1243960938199506
1824.622007420348,2458824.6220074203,2019-12-07T02:55:41.441,1.1549869728262936
1824.6622849013581,2458824.6622849014,2019-12-07T03:53:41.415,1.1738001560778968
1824.7011735010474,2458824.701173501,2019-12-07T04:49:41.390,1.143392361923788
1824.7414509774014,2458824.7414509775,2019-12-07T05:47:41.364,1.1563866225526978
1824.7775618163123,2458824.7775618164,2019-12-07T06:39:41.341,1.1729266842679815
1824.8178392880086,2458824.817839288,2019-12-07T07:37:41.314,1.1812797933644794
1824.858116757378,2458824.8581167576,2019-12-07T08:35:41.288,1.1848509625432746
1824.895616468296,2458824.8956164685,2019-12-07T09:29:41.263,1.1886622395674777
1824.9358939334738,2458824.9358939333,2019-12-07T10:27:41.236,1.1916343009919084
1824.9747825182624,2458824.974782518,2019-12-07T11:23:41.210,1.1707145848666805
1825.0136711007221,2458825.0136711006,2019-12-07T12:19:41.183,1.1975350257902089
1825.0525596813204,2458825.0525596812,2019-12-07T13:15:41.156,1.183529247631192
1825.0928371371842,2458825.092837137,2019-12-07T14:13:41.129,1.1406904786864243
1825.131725713126,2458825.131725713,2019-12-07T15:09:41.102,1.13410194335478
1825.1706142872035,2458825.1706142873,2019-12-07T16:05:41.074,1.1350871031781542
1825.2095028589538,2458825.209502859,2019-12-07T17:01:41.047,1.1305834542181274
1825.249780305971,2458825.249780306,2019-12-07T17:59:41.018,1.1256881551463185
1825.2872799959337,2458825.287279996,2019-12-07T18:53:40.992,1.1389604630083565
1825.3275574382956,2458825.3275574385,2019-12-07T19:51:40.963,1.1459017489975347
1825.366446001663,2458825.3664460015,2019-12-07T20:47:40.935,1.1531398030146593
1825.4053345627028,2458825.4053345625,2019-12-07T21:43:40.906,1.1679074841720207
1825.4442231214143,2458825.4442231213,2019-12-07T22:39:40.878,1.1639482183590777
1825.484500555394,2458825.4845005553,2019-12-07T23:37:40.848,1.1893749328857595
1825.5220002332496,2458825.522000233,2019-12-08T00:31:40.820,1.199760867706378
1825.560888785907,2458825.560888786,2019-12-08T01:27:40.791,1.186720990544312
1825.5997773362365,2458825.599777336,2019-12-08T02:23:40.762,1.1851494255920523
1825.640054761368,2458825.6400547614,2019-12-08T03:21:40.731,1.189513092456443
1825.678943307973,2458825.678943308,2019-12-08T04:17:40.702,1.162053948256197
1825.7192207289131,2458825.719220729,2019-12-08T05:15:40.671,1.1650704520802357
1825.7581092708606,2458825.758109271,2019-12-08T06:11:40.641,1.1313930771313543
1825.7956089347472,2458825.795608935,2019-12-08T07:05:40.612,1.1421489584712226
1825.834497472969,2458825.8344974727,2019-12-08T08:01:40.582,1.1387043263159178
1825.874774885062,2458825.874774885,2019-12-08T08:59:40.550,1.1470962366266333
1825.9136634190934,2458825.913663419,2019-12-08T09:55:40.519,1.1514286496426704
1825.9539408274604,2458825.9539408274,2019-12-08T10:53:40.487,1.1453014543680762
1825.9942182334996,2458825.9942182335,2019-12-08T11:51:40.455,1.1503014834287364
1826.0317178852788,2458826.0317178853,2019-12-08T12:45:40.425,1.1470511017789833
1826.0706064113942,2458826.0706064114,2019-12-08T13:41:40.394,1.151264101978498
1826.109494935181,2458826.1094949353,2019-12-08T14:37:40.362,1.1635054862726053
1826.146994581838,2458826.146994582,2019-12-08T15:31:40.332,1.1404169618875104
1826.1511612090371,2458826.151161209,2019-12-08T15:37:40.328,1.1263667705923095
1826.188660853365,2458826.1886608535,2019-12-08T16:31:40.298,1.1518057202916276
1826.2289382472982,2458826.228938247,2019-12-08T17:29:40.265,1.1493861498263103
1826.2664378879008,2458826.2664378877,2019-12-08T18:23:40.233,1.1311609666028954
1826.3053264019086,2458826.3053264017,2019-12-08T19:19:40.201,1.1318572270038256
1826.3442149145199,2458826.3442149144,2019-12-08T20:15:40.169,1.1414311454523411
1826.3844923005358,2458826.3844923005,2019-12-08T21:13:40.135,1.1446883139806519
1826.4206030588866,2458826.4206030588,2019-12-08T22:05:40.104,1.1279302578712938
1826.45949156591,2458826.459491566,2019-12-08T23:01:40.071,1.1392263107946947
1826.499768946338,2458826.4997689463,2019-12-08T23:59:40.037,1.151119967556619
1826.5386574496351,2458826.5386574497,2019-12-09T00:55:40.004,1.1405749846222208
1826.5789348263384,2458826.5789348264,2019-12-09T01:53:39.969,1.1340749137634798
1826.617823325911,2458826.617823326,2019-12-09T02:49:39.935,1.1352605199149197
1826.6567118240866,2458826.6567118242,2019-12-09T03:45:39.902,1.1361314029595322
1826.6942114460628,2458826.694211446,2019-12-09T04:39:39.869,1.1439212416600892
1826.7330999409787,2458826.733099941,2019-12-09T05:35:39.835,1.1566803599819981
1826.773377308834,2458826.7733773086,2019-12-09T06:33:39.799,1.1818795464199399
1826.8122658004909,2458826.8122658003,2019-12-09T07:29:39.765,1.164904250626704
1826.8525431650864,2458826.852543165,2019-12-09T08:27:39.729,1.1520726325332424
1826.890042779147,2458826.890042779,2019-12-09T09:21:39.696,1.1446045853808604
1826.928931266612,2458826.9289312665,2019-12-09T10:17:39.661,1.1328340675611963
1827.008097111223,2458827.0080971112,2019-12-09T12:11:39.590,1.1361734512025283
1827.0872629507107,2458827.087262951,2019-12-09T14:05:39.519,1.1254574683982264
1827.126151431657,2458827.126151432,2019-12-09T15:01:39.484,1.1391104455146566
1827.1650399112061,2458827.1650399114,2019-12-09T15:57:39.448,1.1527886990171696
1827.203928389824,2458827.20392839,2019-12-09T16:53:39.413,1.1540486234605196
1827.241427993175,2458827.2414279934,2019-12-09T17:47:39.379,1.1442996323431611
1827.2442057418457,2458827.2442057417,2019-12-09T17:51:39.376,1.1329645471857541
1827.283094218602,2458827.2830942185,2019-12-09T18:47:39.340,1.1284203749641721
1827.319204946219,2458827.319204946,2019-12-09T19:39:39.307,1.1634953385834539
1827.3594822959135,2458827.359482296,2019-12-09T20:37:39.270,1.1522381512038367
1827.3997596451422,2458827.399759645,2019-12-09T21:35:39.233,1.1660858489674177
1827.4400369939044,2458827.440036994,2019-12-09T22:33:39.196,1.1597442582306754
1827.478925468332,2458827.4789254684,2019-12-09T23:29:39.160,1.1683539117155823
1827.515036194553,2458827.5150361946,2019-12-10T00:21:39.127,1.1708821637113367
1827.5553135433152,2458827.5553135434,2019-12-10T01:19:39.090,1.142399652841073
1827.5942020186735,2458827.594202019,2019-12-10T02:15:39.054,1.1477245643508345
1827.6330904940316,2458827.633090494,2019-12-10T03:11:39.019,1.1491308118342094
1827.6733678446572,2458827.6733678444,2019-12-10T04:09:38.982,1.1386014448434714
1827.7108674480082,2458827.710867448,2019-12-10T05:03:38.947,1.1278338234297658
1827.7511448014275,2458827.7511448013,2019-12-10T06:01:38.911,1.1342220018059241
1827.7900332819077,2458827.790033282,2019-12-10T06:57:38.876,1.171260841240336
1827.8289217651832,2458827.828921765,2019-12-10T07:53:38.841,1.1611668427448687
1827.8678102512508,2458827.867810251,2019-12-10T08:49:38.806,1.1533451007854356
1827.9080876149155,2458827.908087615,2019-12-10T09:47:38.770,1.1440810689484804
1827.9455872327014,2458827.9455872327,2019-12-10T10:41:38.737,1.1480544272057285
1827.9844757299456,2458827.98447573,2019-12-10T11:37:38.703,1.1744047844728702
1828.966413222526,2458828.9664132227,2019-12-11T11:11:38.102,1.124956366953478
1829.0011352164374,2458829.0011352166,2019-12-11T12:01:38.083,1.1648113051850468
1829.0414127207314,2458829.041412721,2019-12-11T12:59:38.059,1.1660872764023407
1829.0803013367195,2458829.080301337,2019-12-11T13:55:38.036,1.1636054823576154
1829.1191899443252,2458829.119189944,2019-12-11T14:51:38.011,1.1552571386481243
1829.1608563006043,2458829.1608563005,2019-12-11T15:51:37.984,1.1376646047800036
1829.198356013385,2458829.1983560133,2019-12-11T16:45:37.960,1.1339248570550524
1829.2386334743733,2458829.2386334743,2019-12-11T17:43:37.932,1.171616452189783
1829.2761331722522,2458829.276133172,2019-12-11T18:37:37.906,1.1559844241605892
1829.3150217407433,2458829.3150217407,2019-12-11T19:33:37.878,1.1578646874235676
1829.3539103022488,2458829.3539103023,2019-12-11T20:29:37.850,1.1484200908564284
1829.3914099796402,2458829.3914099797,2019-12-11T21:23:37.822,1.1409440652912246
1829.4330762809702,2458829.433076281,2019-12-11T22:23:37.791,1.1426585823113549
1829.470575945788,2458829.470575946,2019-12-11T23:17:37.762,1.1565667193852966
1829.5122422336153,2458829.512242234,2019-12-12T00:17:37.729,1.1600445192723978
1829.5511307625247,2458829.5511307623,2019-12-12T01:13:37.698,1.1530783274023215
1829.588630409647,2458829.5886304094,2019-12-12T02:07:37.667,1.1495884180230878
1829.627518926915,2458829.6275189267,2019-12-12T03:03:37.635,1.1425765550295477
1829.6677963143284,2458829.667796314,2019-12-12T04:01:37.602,1.1504363030877411
1829.7052959456187,2458829.7052959455,2019-12-12T04:55:37.570,1.1426290449477652
1829.7455733218562,2458829.745573322,2019-12-12T05:53:37.535,1.151552582148428
1829.7844618177037,2458829.7844618177,2019-12-12T06:49:37.501,1.1435439234948113
1829.823350308894,2458829.823350309,2019-12-12T07:45:37.467,1.138090346223767
1829.8608499206266,2458829.8608499207,2019-12-12T08:39:37.433,1.1411198560676505
1829.901127276375,2458829.9011272765,2019-12-12T09:37:37.397,1.1387172998461006
1829.9414046274674,2458829.9414046276,2019-12-12T10:35:37.360,1.1382521443244324
1829.9775153513592,2458829.9775153515,2019-12-12T11:27:37.326,1.1369824617733992
1829.9816819729704,2458829.9816819727,2019-12-12T11:33:37.322,1.1228411449479052
1830.0580700297937,2458830.0580700296,2019-12-12T13:23:37.251,1.1237829196353817
1830.096958488854,2458830.0969584887,2019-12-12T14:19:37.213,1.157610244362616
1830.135846943257,2458830.135846943,2019-12-12T15:15:37.176,1.1309317615036254
1830.1747353939363,2458830.174735394,2019-12-12T16:11:37.138,1.1387797237793766
1830.253901155194,2458830.253901155,2019-12-12T18:05:37.060,1.13001532025647
1830.2927895937646,2458830.292789594,2019-12-12T19:01:37.021,1.1353380835954596
1830.3316780276791,2458830.3316780278,2019-12-12T19:57:36.982,1.1508263724134835
1830.3705664583345,2458830.3705664584,2019-12-12T20:53:36.942,1.1438264883713019
1830.4080660127906,2458830.408066013,2019-12-12T21:47:36.904,1.1466287957610275
1830.4108437572718,2458830.4108437574,2019-12-12T21:51:36.901,1.1472480910448226
1830.4483433080031,2458830.448343308,2019-12-12T22:45:36.862,1.153114396669378
1830.4886205994899,2458830.4886205993,2019-12-12T23:43:36.820,1.1557913321616002
1830.5275090152431,2458830.527509015,2019-12-13T00:39:36.779,1.1491015880238409
1830.5663974268068,2458830.5663974266,2019-12-13T01:35:36.738,1.1519970002908761
1830.6038969635674,2458830.6038969634,2019-12-13T02:29:36.698,1.136326217869582
1830.6441742401537,2458830.64417424,2019-12-13T03:27:36.654,1.1502080584231882
1830.681673770396,2458830.6816737703,2019-12-13T04:21:36.614,1.133249974287407
1830.7219510399964,2458830.72195104,2019-12-13T05:19:36.570,1.1472114556191473
1830.762228305407,2458830.7622283055,2019-12-13T06:17:36.526,1.1363848333394828
1830.8011166969468,2458830.801116697,2019-12-13T07:13:36.483,1.139366882588342
1830.8386162136835,2458830.8386162138,2019-12-13T08:07:36.441,1.1413978632052988
1830.8788934693148,2458830.8788934695,2019-12-13T09:05:36.396,1.1153245004866172
1830.919170721221,2458830.9191707214,2019-12-13T10:03:36.350,1.141266149590771
1830.9566702286459,2458830.956670229,2019-12-13T10:57:36.308,1.1552377786617425
1830.9955586034212,2458830.995558603,2019-12-13T11:53:36.263,1.1606728874333774
1831.0358358450828,2458831.035835845,2019-12-13T12:51:36.217,1.164732550926195
1831.0733353431938,2458831.073335343,2019-12-13T13:45:36.174,1.1574527281423315
1831.1122237086565,2458831.1122237085,2019-12-13T14:41:36.128,1.1679486731116064
1831.152500941005,2458831.152500941,2019-12-13T15:39:36.081,1.1775146064231126
1831.1927781700929,2458831.19277817,2019-12-13T16:37:36.034,1.1545032713316001
1831.2302776560973,2458831.230277656,2019-12-13T17:31:35.989,1.1407782590725037
1831.2677771393073,2458831.2677771393,2019-12-13T18:25:35.945,1.1317826497102108
1831.3080543590827,2458831.308054359,2019-12-13T19:23:35.897,1.1545529090545117
