tBJD,HJD,fits
1821.1039684413527,2458821.1039684415,2019-12-03T14:29:42.873
1821.1428572515206,2458821.1428572517,2019-12-03T15:25:42.867
1821.1470239094542,2458821.1470239093,2019-12-03T15:31:42.866
1821.1817460588945,2458821.181746059,2019-12-03T16:21:42.860
1821.2206348639402,2458821.2206348637,2019-12-03T17:17:42.852
1821.2595236666584,2458821.2595236665,2019-12-03T18:13:42.845
1821.2984124670475,2458821.298412467,2019-12-03T19:09:42.837
1821.3386901506203,2458821.3386901505,2019-12-03T20:07:42.829
1821.3761900603752,2458821.3761900603,2019-12-03T21:01:42.821
1821.4164677388258,2458821.416467739,2019-12-03T21:59:42.813
1821.455356529436,2458821.4553565294,2019-12-03T22:55:42.804
1821.4942453177177,2458821.4942453178,2019-12-03T23:51:42.795
1821.5359118742304,2458821.5359118744,2019-12-04T00:51:42.786
1821.5734117723446,2458821.5734117725,2019-12-04T01:45:42.777
1821.6123005531758,2458821.6123005534,2019-12-04T02:41:42.768
1821.6498004470973,2458821.6498004473,2019-12-04T03:35:42.759
1821.690078108319,2458821.690078108,2019-12-04T04:33:42.749
1821.7303557672112,2458821.730355767,2019-12-04T05:31:42.738
1821.7706334233108,2458821.7706334232,2019-12-04T06:29:42.728
1821.8470220743156,2458821.8470220743,2019-12-04T08:19:42.707
1821.8859108388492,2458821.885910839,2019-12-04T09:15:42.696
1821.9261884851685,2458821.926188485,2019-12-04T10:13:42.685
1821.9650772445793,2458821.9650772447,2019-12-04T11:09:42.674
1822.0039660021278,2458822.0039660023,2019-12-04T12:05:42.663
1822.0414658727677,2458822.041465873,2019-12-04T12:59:42.651
1822.0803546256593,2458822.080354626,2019-12-04T13:55:42.640
1822.120632259872,2458822.1206322596,2019-12-04T14:53:42.627
1822.1581321239928,2458822.1581321238,2019-12-04T15:47:42.615
1822.198409753083,2458822.198409753,2019-12-04T16:45:42.603
1822.2386873803102,2458822.23868738,2019-12-04T17:43:42.590
1822.2775761210955,2458822.277576121,2019-12-04T18:39:42.577
1822.3164648595516,2458822.3164648595,2019-12-04T19:35:42.564
1822.35535359568,2458822.3553535957,2019-12-04T20:31:42.551
1822.3942423294798,2458822.3942423295,2019-12-04T21:27:42.537
1822.433131060951,2458822.433131061,2019-12-04T22:23:42.524
1822.4720197900938,2458822.47201979,2019-12-04T23:19:42.510
1822.5122974000928,2458822.5122974003,2019-12-05T00:17:42.495
1822.5511861245798,2458822.551186125,2019-12-05T01:13:42.481
1822.5914637299215,2458822.5914637297,2019-12-05T02:11:42.466
1822.6317413324691,2458822.6317413324,2019-12-05T03:09:42.451
1822.6692411672525,2458822.669241167,2019-12-05T04:03:42.437
1822.7081298824255,2458822.7081298823,2019-12-05T04:59:42.422
1822.7470185952711,2458822.747018595,2019-12-05T05:55:42.407
1822.7845184235352,2458822.7845184235,2019-12-05T06:49:42.392
1822.8247960139756,2458822.824796014,2019-12-05T07:47:42.376
1822.8650736025543,2458822.8650736026,2019-12-05T08:45:42.359
1822.9025734238335,2458822.902573424,2019-12-05T09:39:42.344
1822.9428510072898,2458822.9428510075,2019-12-05T10:37:42.327
1822.9817397066304,2458822.981739707,2019-12-05T11:33:42.311
1823.020628403177,2458823.0206284034,2019-12-05T12:29:42.294
1823.0595170978618,2458823.0595170977,2019-12-05T13:25:42.277
1823.0997946715383,2458823.0997946714,2019-12-05T14:23:42.260
1823.1372944797797,2458823.1372944796,2019-12-05T15:17:42.243
1823.1789609305865,2458823.1789609306,2019-12-05T16:17:42.224
1823.2164607341706,2458823.216460734,2019-12-05T17:11:42.207
1823.255349417214,2458823.255349417,2019-12-05T18:07:42.190
1823.294238097928,2458823.294238098,2019-12-05T19:03:42.172
1823.3331267763137,2458823.3331267764,2019-12-05T19:59:42.153
1823.373404333693,2458823.373404334,2019-12-05T20:57:42.134
1823.4109041265674,2458823.4109041267,2019-12-05T21:51:42.117
1823.4511816792888,2458823.4511816795,2019-12-05T22:49:42.097
